Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
9815,26,23,0,0
9811,28,26,0,0
9810,25,26,0,0
9814,23,25,0,0
9813,24,25,0,0
9823,22,23,0,0
9812,22,22,0,0
9825,18,21,0,0
9830,12,18,0,0
9822,12,16,0,0
9845,8,12,0,0
9807,10,10,0,0
9811,19,12,0,0
9812,24,15,0,0
9829,24,19,0,0
9847,15,20,0,0
9810,15,19,0,0
9816,13,16,0,0
9820,18,15,0,0
9813,21,16,0,0
9827,18,17,0,0
9816,18,18,0,0
9836,14,17,0,0
9827,9,14,0,0
9839,4,11,0,0
9815,4,7,0,0
9828,8,6,0,0
9835,4,5,0,0
9826,9,6,0,0
9840,4,6,0,0
9820,5,5,0,0
9822,12,7,0,0
9840,5,6,0,0
9839,5,6,0,0
9854,-3,4,0,0
9843,-5,0,0,0
9834,-5,-2,0,0
9796,-2,-3,0,0
9797,20,2,0,0
9836,20,8,0,0
9846,19,14,0,0
9834,1,15,0,0
9845,-4,9,0,0
9829,-3,3,0,0
9826,4,0,0,0
9848,-1,-1,0,0
9849,-2,0,0,0
9841,-8,-1,0,0
9836,-8,-4,0,0
9813,-2,-5,0,0
9816,10,-2,0,0
9839,10,2,0,0
9850,8,6,0,0
9838,-2,6,0,0
9832,-2,3,0,0
9838,-2,0,0,0
9846,-2,-2,0,0
9840,-3,-2,0,0
9845,-6,-3,0,0
9835,-6,-4,0,0
9851,-6,-5,0,0
9819,-4,-5,0,0
9812,9,-1,0,0
9830,11,2,0,0
9841,11,6,0,0
9836,3,8,0,0
9829,3,7,0,0
9841,-2,3,0,0
9844,-2,0,0,0
9826,1,0,0,0
9852,-6,-2,0,0
9851,-11,-4,0,0
9851,-15,-7,0,0
9847,-15,-11,0,0
9820,-13,-13,0,1
9824,0,-10,0,0
9845,1,-6,0,0
9859,1,-2,0,0
9833,-3,0,0,0
9839,-6,-1,0,0
9848,-7,-3,0,0
9844,-5,-5,0,0
9843,-7,-6,0,0
9835,-7,-6,0,0
9819,-3,-5,0,0
9773,9,-2,0,0
9748,40,9,0,0
9768,65,27,0,0
9771,66,45,0,0
9756,74,61,0,0
9733,74,69,0,0
9742,87,75,0,0
9713,98,83,0,0
9697,113,93,0,0
9719,120,104,0,0
9722,120,112,0,0
9722,115,117,0,0
9717,115,117,0,0
9718,116,116,0,0
9687,118,116,0,0
9741,118,116,0,0
9749,106,114,0,0
9735,98,110,0,0
9755,91,103,0,0
9770,84,94,0,0
9767,75,87,0,0
9791,67,79,0,0
9781,60,71,0,0
9787,52,63,0,0
9768,52,57,0,0
9770,60,56,0,0
9767,67,57,0,0
9797,67,61,0,0
9799,52,61,0,0
9789,43,57,0,0
9814,38,50,0,0
9791,41,43,0,0
9801,40,40,0,0
9797,37,39,0,0
9816,37,38,0,0
9807,32,36,0,0
9799,33,34,0,0
9778,33,33,0,0
9770,47,36,0,0
9795,49,40,0,0
9812,49,44,0,0
9810,33,44,0,0
9794,33,41,0,0
9826,25,35,0,0
9814,24,28,0,0
9836,16,24,0,0
9826,10,18,0,0
9816,15,16,0,0
9773,15,14,0,0
9791,32,18,0,0
9787,47,27,0,0
9824,47,35,0,0
