Channel 1,Channel 2, Channel 3
9847,-38,-35
9858,-27,-35
9876,-27,-32
9884,-31,-30
9875,-39,-31
9889,-44,-35
9883,-47,-40
9881,-46,-44
9873,-46,-45
9884,-46,-46
9881,-45,-45
9875,-42,-44
9874,-42,-43
9849,-38,-41
9876,-38,-40
9876,-39,-39
9884,-40,-38
9872,-40,-39
9888,-44,-40
9887,-49,-43
9887,-51,-46
9876,-51,-48
9876,-45,-49
9872,-40,-46
9851,-38,-43
9835,-25,-37
9862,-20,-30
9891,-20,-25
9864,-27,-23
9882,-37,-26
9880,-45,-32
9885,-45,-38
9897,-47,-43
9882,-47,-46
9887,-50,-47
9881,-48,-48
9890,-48,-48
9860,-48,-48
9850,-34,-44
9887,-37,-41
9890,-37,-39
9874,-44,-38
9900,-52,-42
9885,-51,-46
9885,-49,-49
9909,-56,-52
9908,-60,-54
9888,-62,-56
9881,-62,-60
9857,-48,-58
9878,-43,-53
9905,-43,-49
9900,-53,-46
9888,-58,-49
9900,-64,-54
9903,-64,-59
9897,-62,-62
9913,-65,-63
9910,-70,-65
9906,-72,-67
9903,-72,-69
9870,-68,-70
9874,-52,-66
9890,-46,-59
9909,-46,-53
9908,-63,-51
9896,-66,-55
9922,-72,-61
9902,-69,-67
9910,-70,-69
9906,-72,-70
9910,-72,-70
9891,-72,-71
9883,-62,-69
9887,-53,-64
9885,-50,-59
9910,-50,-53
9909,-62,-53
9898,-67,-57
9894,-67,-61
9914,-67,-65
9930,-70,-67
9919,-80,-71
9912,-80,-74
9920,-83,-78
9870,-79,-80
9887,-63,-76
9895,-55,-70
9907,-55,-63
9906,-64,-59
9913,-70,-61
9913,-74,-65
9908,-74,-70
9920,-77,-73
9907,-74,-74
9918,-77,-75
9929,-83,-77
9906,-76,-77
9894,-76,-78
9887,-64,-74
9897,-59,-68
9931,-59,-64
9902,-63,-61
9920,-75,-64
9910,-79,-69
9911,-74,-72
9919,-79,-76
9909,-74,-76
9928,-79,-76
9903,-78,-77
9879,-70,-75
9881,-56,-70
9906,-56,-65
9913,-57,-59
9917,-73,-60
9921,-79,-66
9916,-80,-72
9921,-83,-78
9916,-82,-81
9916,-80,-81
9922,-82,-81
9927,-83,-81
9905,-83,-82
9912,-81,-82
9899,-72,-79
9924,-72,-77
9916,-78,-75
9905,-74,-74
9920,-82,-76
9921,-82,-79
9924,-84,-80
9916,-84,-83
9918,-83,-83
9930,-85,-84
9907,-81,-83
9900,-76,-81
9895,-67,-77
9920,-67,-72
9906,-67,-69
9905,-69,-67
9911,-72,-68
9899,-69,-69
9898,-66,-69
9888,-62,-67
9866,-57,-63
9848,-41,-56
9842,-21,-45
9804,-9,-32
9752,13,-14
9778,45,7
9777,58,26
9763,66,45
9752,66,58
9759,75,66
9758,77,71
